file,section_type,json_path,setting,spanish_default,english_translation,status
templates/index.json,fgp-doctor-testimonials,sections.fgp_doctor_testimonials_main.blocks.doctor_1.settings,name,Dra. Nancy Conejo,Dra. Nancy Conejo,identical
templates/index.json,fgp-doctor-testimonials,sections.fgp_doctor_testimonials_main.blocks.doctor_1.settings,specialty,Pediatra | Neonatóloga,Pediatrician | Neonatologist,translated
templates/index.json,fgp-doctor-testimonials,sections.fgp_doctor_testimonials_main.blocks.doctor_1.settings,ig_handle,@pediatranancyconejo,@pediatranancyconejo,identical
templates/index.json,fgp-doctor-testimonials,sections.fgp_doctor_testimonials_main.blocks.doctor_1.settings,quote,"Combinar probióticos con una dieta equilibrada rica en alimentos integrales, fibra e hidratación es la clave del bienestar a largo plazo. Por eso Synbiotic y Probióticos para Niños están diseñados para complementar el estilo de vida saludable de tu familia.""","Pairing probiotics with a balanced diet rich in whole foods, fiber, and hydration is the key to long-term wellness. That's why synbiotic and kids probiotics are designed to complement your family healthy lifestyle.""",translated
templates/index.json,fgp-doctor-testimonials,sections.fgp_doctor_testimonials_main.blocks.doctor_2.settings,name,Doctora Von Saalfeld,Doctora Von Saalfeld,identical
templates/index.json,fgp-doctor-testimonials,sections.fgp_doctor_testimonials_main.blocks.doctor_2.settings,specialty,Nutricionista,Nutricionista,identical
templates/index.json,fgp-doctor-testimonials,sections.fgp_doctor_testimonials_main.blocks.doctor_2.settings,ig_handle,@cnvs_nutricion,@cnvs_nutricion,identical
templates/index.json,fgp-doctor-testimonials,sections.fgp_doctor_testimonials_main.blocks.doctor_2.settings,quote,"Synbiotic + funciona increíblemente bien como complemento de una dieta equilibrada en pacientes con síndrome de intestino irritable y otros problemas digestivos.""","Synbiotic + works amazing as a complement to a balanced diet on patients with Irritable Bowel Sindrome and other digestive issues.""",translated
templates/index.json,fgp-doctor-testimonials,sections.fgp_doctor_testimonials_main.blocks.doctor_3.settings,name,Dr. Nombre Apellido,Dr. Name Lastname,translated
templates/index.json,fgp-doctor-testimonials,sections.fgp_doctor_testimonials_main.blocks.doctor_3.settings,specialty,Medicina interna,Internal Medicine,translated
templates/index.json,fgp-doctor-testimonials,sections.fgp_doctor_testimonials_main.blocks.doctor_3.settings,quote,Un producto científicamente sólido que realmente da resultados. Confío en Feel Good Pharma por su calidad y transparencia.,A scientifically sound product that truly delivers results. I trust Feel Good Pharma for its quality and transparency.,translated
templates/index.json,fgp-customer-reviews,sections.fgp_customer_reviews_main.settings,eyebrow,LO QUE DICEN NUESTROS CLIENTES,WHAT OUR CUSTOMERS SAY,translated
templates/index.json,fgp-customer-reviews,sections.fgp_customer_reviews_main.settings,heading,Preferido por los clientes,Loved by Customers,translated
templates/index.json,fgp-customer-reviews,sections.fgp_customer_reviews_main.blocks.review_fXj9kK.settings,review,Llevo 3 meses usando este producto y me siento increíble. Mi digestión ha mejorado muchísimo y tengo más energía que nunca.,I've been using this product for 3 months and I feel incredible. My digestion has improved tremendously and I have more energy than ever!,translated
templates/index.json,fgp-customer-reviews,sections.fgp_customer_reviews_main.blocks.review_fXj9kK.settings,name,Maria G.,Maria G.,identical
templates/index.json,fgp-customer-reviews,sections.fgp_customer_reviews_main.blocks.review_fXj9kK.settings,location,"San José, Costa Rica","San José, Costa Rica",identical
templates/index.json,fgp-customer-reviews,sections.fgp_customer_reviews_main.blocks.review_1.settings,review,Llevo 3 meses usando Synbiotic+ y mi digestión ha mejorado muchísimo. Tengo más energía y me siento increíble.,I've been using Synbiotic+ for 3 months and my digestion has improved tremendously. I have more energy and feel incredible!,translated
templates/index.json,fgp-customer-reviews,sections.fgp_customer_reviews_main.blocks.review_1.settings,name,Maria G.,Maria G.,identical
templates/index.json,fgp-customer-reviews,sections.fgp_customer_reviews_main.blocks.review_1.settings,location,"San José, Costa Rica","San José, Costa Rica",identical
templates/index.json,fgp-customer-reviews,sections.fgp_customer_reviews_main.blocks.review_2.settings,review,Mi hija empezó con Probióticos para Niños y en pocas semanas se le quitaron los dolores de barriga. ¡Estoy muy agradecida!,My daughter started Kids Probiotics and within weeks her tummy aches were gone. I'm so grateful for this product!,translated
templates/index.json,fgp-customer-reviews,sections.fgp_customer_reviews_main.blocks.review_2.settings,name,Ana R.,Ana R.,identical
templates/index.json,fgp-customer-reviews,sections.fgp_customer_reviews_main.blocks.review_2.settings,location,"Heredia, Costa Rica","Heredia, Costa Rica",identical
templates/index.json,fgp-customer-reviews,sections.fgp_customer_reviews_main.blocks.review_3.settings,review,¡Por fin un probiótico que sí funciona! Se acabó la hinchazón y las molestias. Feel Good Pharma me cambió la vida.,"Finally a probiotic that actually works! No more bloating, no more discomfort. Feel Good Pharma changed my life.",translated
templates/index.json,fgp-customer-reviews,sections.fgp_customer_reviews_main.blocks.review_3.settings,name,Carlos M.,Carlos M.,identical
templates/index.json,fgp-customer-reviews,sections.fgp_customer_reviews_main.blocks.review_3.settings,location,"Cartago, Costa Rica","Cartago, Costa Rica",identical
templates/index.json,fgp-subfooter,sections.fgp_subfooter_main.settings,hashtag,#FeelGoodWithin,#FeelGoodWithin,identical
templates/index.json,fgp-subfooter,sections.fgp_subfooter_main.settings,ig_handle,feel.goodpharma,feel.goodpharma,identical
templates/index.json,fgp-subfooter,sections.fgp_subfooter_main.settings,fb_label,FEELGOODPHARMA,FEELGOODPHARMA,identical
templates/list-collections.json,slideshow,sections.slideshow.settings,accessibility_info,Presentación sobre nuestra marca,Slideshow about our brand,translated
templates/list-collections.json,slideshow,sections.slideshow.blocks.slide.settings,heading,Colecciones,Collections,translated
templates/page.about.json,fgp-about-hero,sections.fgp_about_hero.settings,eyebrow,NUESTRA HISTORIA,OUR STORY,translated
templates/page.about.json,fgp-about-hero,sections.fgp_about_hero.settings,heading,Ayudándote a vivir una vida más saludable y plena.,"Helping you live a healthier, fuller life.",translated
templates/page.about.json,fgp-about-hero,sections.fgp_about_hero.settings,subtext,"<p>En Feel Good, nuestro objetivo es ayudarte a vivir una vida más saludable, plena y satisfactoria. Sabemos que el bienestar es un viaje, y estamos aquí para apoyarte en cada paso del camino. Nuestros productos están diseñados con ingredientes naturales de la más alta calidad, clínicamente estudiados y cuidadosamente seleccionados para proporcionarte los mejores resultados posibles.</p>","<p>At Feel Good, our goal is to help you live a healthier, fuller, more satisfying life. We know wellness is a journey, and we're here to support you every step of the way. Our products are made with the highest-quality natural ingredients — clinically studied and carefully selected to give you the best possible results.</p>",translated
templates/page.about.json,fgp-about-hero,sections.fgp_about_hero.settings,cta_label,Conoce a la Dra. Katherine,Meet Dr. Katherine,translated
templates/page.about.json,fgp-mission-text,sections.fgp_mission_about.settings,eyebrow,NUESTRA MISIÓN,OUR MISSION,translated
templates/page.about.json,fgp-mission-text,sections.fgp_mission_about.settings,heading,"Ciencia y cuidado, en cada fórmula","Science and care, in every formula",translated
templates/page.about.json,fgp-mission-text,sections.fgp_mission_about.settings,body,"<p>Nos enorgullece ofrecer productos diseñados con ingredientes naturales de la más alta calidad, clínicamente estudiados y cuidadosamente seleccionados para proporcionarte los mejores resultados posibles. Estos productos son fáciles de incorporar en tu estilo de vida diario, para ayudarte a moverte, sentirte y lucir lo mejor posible, de adentro hacia afuera.</p><p>Nuestras enzimas digestivas de origen vegetal, prebióticos, probióticos y postbióticos están diseñados para mejorar la salud gastrointestinal y apoyar el sistema inmunológico. Creemos que cada cliente es único y merece una atención personalizada. Es por eso que nos esforzamos en proporcionarte un servicio al cliente excepcional, para asegurarnos de que estés completamente satisfecho con nuestros productos.</p>","<p>We take pride in offering products made with the highest-quality natural ingredients — clinically studied and carefully selected to give you the best possible results. They're easy to fit into your daily routine, helping you move, feel, and look your best from the inside out.</p><p>Our plant-based digestive enzymes, prebiotics, probiotics, and postbiotics are designed to improve gastrointestinal health and support the immune system. We believe every customer is unique and deserves personal attention. That's why we work hard to give you exceptional service, so you're completely satisfied with our products.</p>",translated
templates/page.about.json,fgp-founder-quote,sections.fgp_founder_about.settings,founder_name,"Dra. Katherine Jiménez, Fundadora","Dr. Katherine Jiménez, Founder",translated
templates/page.about.json,fgp-founder-quote,sections.fgp_founder_about.settings,quote,"Feel Good Pharma fue creado por la Dra. Katherine Jiménez, una mujer y farmacéutica apasionada por la salud, que siempre busca lo mejor para su familia y amigos. Su compromiso con la salud y el bienestar llevó a la Dra. Jiménez a crear productos que hacen la diferencia en la vida de las personas, y este compromiso se refleja en cada uno de nuestros productos y en el servicio que brindamos.","Feel Good Pharma was founded by Dr. Katherine Jiménez — a pharmacist with a passion for health who has always sought the best for her family and friends. That commitment to health and wellbeing led her to create products that make a real difference in people's lives, and it shows in every product we make and every interaction we have.",translated
templates/page.about.json,fgp-founder-quote,sections.fgp_founder_about.settings,cta_label,Ver nuestros productos,View our products,translated
templates/page.about.json,fgp-subfooter,sections.fgp_subfooter_about.settings,hashtag,#FeelGoodWithin,#FeelGoodWithin,identical
templates/page.about.json,fgp-subfooter,sections.fgp_subfooter_about.settings,ig_handle,feel.goodpharma,feel.goodpharma,identical
templates/page.contact.json,fgp-contact-hero,sections.fgp_contact_hero.settings,eyebrow,CONTÁCTANOS,GET IN TOUCH,translated
templates/page.contact.json,fgp-contact-hero,sections.fgp_contact_hero.settings,heading,Contáctanos,Contact us,translated
templates/page.contact.json,fgp-contact-hero,sections.fgp_contact_hero.settings,subtext,Nos encantaría saber de ti. Completa el formulario y te responderemos lo antes posible.,We'd love to hear from you. Fill out the form below and we'll get back to you as soon as possible.,translated
templates/page.contact.json,fgp-contact-info,sections.fgp_contact_info.blocks.card_email.settings,label,Correo electrónico,Email,translated
templates/page.contact.json,fgp-contact-info,sections.fgp_contact_info.blocks.card_email.settings,value,hola@feelgoodpharma.com,hola@feelgoodpharma.com,identical
templates/page.contact.json,fgp-contact-info,sections.fgp_contact_info.blocks.card_phone.settings,label,Teléfono,Phone,translated
templates/page.contact.json,fgp-contact-info,sections.fgp_contact_info.blocks.card_phone.settings,value,+506 XXXX XXXX,+506 XXXX XXXX,identical
templates/page.contact.json,fgp-contact-info,sections.fgp_contact_info.blocks.card_location.settings,label,Ubicación,Location,translated
templates/page.contact.json,fgp-contact-info,sections.fgp_contact_info.blocks.card_location.settings,value,"San José, Costa Rica","San José, Costa Rica",identical
templates/page.contact.json,fgp-contact-info,sections.fgp_contact_info.blocks.card_hours.settings,label,Horario,Hours,translated
templates/page.contact.json,fgp-contact-info,sections.fgp_contact_info.blocks.card_hours.settings,value,Lun–Vie: 8 a.m. – 5 p.m.,Mon–Fri: 8am – 5pm,translated
templates/page.contact.json,contact-form,sections.form.settings,heading,Envíanos un mensaje,Send us a message,translated
templates/page.contact.json,fgp-subfooter,sections.fgp_subfooter_contact.settings,hashtag,#FeelGoodWithin,#FeelGoodWithin,identical
templates/page.contact.json,fgp-subfooter,sections.fgp_subfooter_contact.settings,ig_handle,feel.goodpharma,feel.goodpharma,identical
templates/page.json,image-with-text,sections.23cb49cd-699f-4bea-a5e2-ad07db6241cd.blocks.template--18641843257665__23cb49cd-699f-4bea-a5e2-ad07db6241cd-168108581238f5d118-1.settings,text,"<p>En Feel Good, nuestro objetivo es ayudarte a vivir una vida más saludable, plena y satisfactoria. Sabemos que el bienestar es un viaje, y estamos aquí para apoyarte en cada paso del camino. Nuestros productos están diseñados con ingredientes naturales de la más alta calidad, clínicamente estudiados y cuidadosamente seleccionados para proporcionarte los mejores resultados posibles.</p><p>Nos enorgullece ofrecer productos diseñados con ingredientes naturales de la más alta calidad, clínicamente estudiados y cuidadosamente seleccionados para proporcionarte los mejores resultados posibles. Estos productos son fáciles de incorporar en tu estilo de vida diario, para ayudarte a moverte, sentirte y lucir lo mejor posible, de adentro hacia afuera.</p><p>Nuestras enzimas digestivas de origen vegetal, prebióticos, probióticos y postbióticos están diseñados para mejorar la salud gastrointestinal y apoyar el sistema inmunológico. </p><p>Creemos que cada cliente es único y merece una atención personalizada. Es por eso que nos esforzamos en proporcionarte un servicio al cliente excepcional, para asegurarnos de que estés completamente satisfecho con nuestros productos.</p><p>Feel Good Pharma fue creado por la Dra. Katherine Jiménez, una mujer y farmacéutica apasionada por la salud, que siempre busca lo mejor para su familia y amigos. </p><p>Su compromiso con la salud y el bienestar llevó a la Dra. Jiménez a crear productos que hacen la diferencia en la vida de las personas, y este compromiso se refleja en cada uno de nuestros productos y en el servicio que brindamos.</p>","<p>At Feel Good, our goal is to help you live a healthier, fuller, more satisfying life. We know wellness is a journey, and we're here to support you every step of the way. Our products are made with the highest-quality natural ingredients — clinically studied and carefully selected to give you the best possible results.</p><p>We take pride in offering products made with the highest-quality natural ingredients — clinically studied and carefully selected to give you the best possible results. They're easy to fit into your daily routine, helping you move, feel, and look your best from the inside out.</p><p>Our plant-based digestive enzymes, prebiotics, probiotics, and postbiotics are designed to improve gastrointestinal health and support the immune system.</p><p>We believe every customer is unique and deserves personal attention. That's why we work hard to give you exceptional service, so you're completely satisfied with our products.</p><p>Feel Good Pharma was founded by Dr. Katherine Jiménez — a pharmacist with a passion for health who has always sought the best for her family and friends.</p><p>Her commitment to health and wellbeing led Dr. Jiménez to create products that make a real difference in people's lives, and that commitment shows in every product we make and every interaction we have.</p>",translated
templates/page.json,image-with-text,sections.23cb49cd-699f-4bea-a5e2-ad07db6241cd.blocks.template--18641843257665__23cb49cd-699f-4bea-a5e2-ad07db6241cd-168108581238f5d118-2.settings,button_label,Texto del botón,Button label,translated
templates/page.puntos-de-venta.json,fgp-store-locator,sections.fgp_store_locator.settings,eyebrow,ENCUÉNTRANOS,FIND US,translated
templates/page.puntos-de-venta.json,fgp-store-locator,sections.fgp_store_locator.settings,heading,Puntos de Venta,Puntos de Venta,identical
templates/page.puntos-de-venta.json,fgp-store-locator,sections.fgp_store_locator.settings,subtext,Encuentra nuestros productos en estos puntos de venta.,Encuentra nuestros productos en estos puntos de venta.,identical
templates/page.puntos-de-venta.json,fgp-subfooter,sections.fgp_subfooter_pdv.settings,hashtag,#FeelGoodWithin,#FeelGoodWithin,identical
templates/page.puntos-de-venta.json,fgp-subfooter,sections.fgp_subfooter_pdv.settings,ig_handle,feel.goodpharma,feel.goodpharma,identical
templates/page.puntos-de-venta.json,fgp-subfooter,sections.fgp_subfooter_pdv.settings,fb_label,FEELGOODPHARMA,FEELGOODPHARMA,identical
templates/password.json,email-signup-banner,sections.main.blocks.heading.settings,heading,Próxima apertura,Opening soon,translated
templates/password.json,email-signup-banner,sections.main.blocks.paragraph.settings,text,<p>Sé el primero en enterarte de nuestro lanzamiento.</p>,<p>Be the first to know when we launch.</p>,translated
templates/product.json,main-product,sections.main.blocks.vendor.settings,text,{{ product.vendor }},{{ product.vendor }},identical
templates/product.json,main-product,sections.main.blocks.tab_shipping.settings,heading,Envíos,Shipping,translated
templates/product.json,main-product,sections.main.blocks.tab_shipping.settings,content,<p>Envío gratis en pedidos superiores a $50. Entrega estándar de 3 a 5 días hábiles.</p>,<p>Free shipping on orders over $50. Standard delivery 3–5 business days.</p>,translated
templates/product.json,main-product,sections.main.blocks.tab_returns.settings,heading,Política de devoluciones,Return policy,translated
templates/product.json,main-product,sections.main.blocks.tab_returns.settings,content,"<p>Ofrecemos una garantía de satisfacción de 30 días. Si no quedas conforme, contáctanos para un reembolso completo.</p>","<p>We offer a 30-day satisfaction guarantee. If you're not happy, contact us for a full refund.</p>",translated
templates/product.json,main-product,sections.main.blocks.share.settings,share_label,Compartir,Share,translated
templates/product.json,related-products,sections.related-products.settings,heading,También te puede gustar,You may also like,translated
templates/product.kids.json,main-product,sections.main.blocks.vendor.settings,text,{{ product.vendor }},{{ product.vendor }},identical
templates/product.kids.json,main-product,sections.main.blocks.tab_dosage.settings,heading,Dosis,Dosage,translated
templates/product.kids.json,main-product,sections.main.blocks.tab_dosage.settings,content,<p>Niños de 4 años en adelante: 1 gomita al día. Adultos: 1–2 gomitas al día.</p>,<p>Children 4+: 1 gummy per day. Adults: 1–2 gummies per day.</p>,translated
templates/product.kids.json,main-product,sections.main.blocks.tab_shipping.settings,heading,Envíos,Shipping,translated
