file,section_type,json_path,setting,english,spanish,status
templates/index.json,image-with-text,sections.b8b0c886-8d85-4099-b9f2-61e11d876167.blocks.template--18478760722753__b8b0c886-8d85-4099-b9f2-61e11d876167-16798913418e874d38-2.settings,button_label,Comprar,Comprar,translated
templates/index.json,fgp-synbiotic-feature,sections.fgp_synbiotic_feature_jkwUPt.settings,eyebrow,DIGESTIVE ENZYMES,ENZIMAS DIGESTIVAS,translated
templates/index.json,fgp-synbiotic-feature,sections.fgp_synbiotic_feature_jkwUPt.settings,title,SYNBIOTIC+,SYNBIOTIC+,translated
templates/index.json,fgp-synbiotic-feature,sections.fgp_synbiotic_feature_jkwUPt.settings,description,<p>Formulation designed to provide <strong>digestive and immune support and balance the gut microbiome.</strong></p>,<p>Formulación diseñada para brindar <strong>apoyo digestivo e inmunológico y equilibrar la microbiota intestinal.</strong></p>,translated
templates/index.json,fgp-synbiotic-feature,sections.fgp_synbiotic_feature_jkwUPt.settings,cta_label,Shop Synbiotic+,Comprar Synbiotic+,translated
templates/index.json,fgp-goodbye-symptoms,sections.fgp_goodbye_symptoms_ULcw7q.settings,label_1,Gluten intolerance,Intolerancia al gluten,translated
templates/index.json,fgp-goodbye-symptoms,sections.fgp_goodbye_symptoms_ULcw7q.settings,label_2,Lactose intolerance,Intolerancia a la lactosa,translated
templates/index.json,fgp-goodbye-symptoms,sections.fgp_goodbye_symptoms_ULcw7q.settings,label_3,Constipation or diarrhea,Estreñimiento o diarrea,translated
templates/index.json,fgp-goodbye-symptoms,sections.fgp_goodbye_symptoms_ULcw7q.settings,label_4,Intestinal imbalance due to antibiotics,Desequilibrio intestinal por antibióticos,translated
templates/index.json,fgp-goodbye-symptoms,sections.fgp_goodbye_symptoms_ULcw7q.settings,label_5,Low defenses,Bajas defensas,translated
templates/index.json,fgp-founder-quote,sections.fgp_founder_quote_q3JAYQ.settings,founder_name,"Dr. Katherine Jiménez, Founder","Dra. Katherine Jiménez, Fundadora",translated
templates/index.json,fgp-founder-quote,sections.fgp_founder_quote_q3JAYQ.settings,quote,"I founded Feel Good Pharma to help people truly feel good again - from the inside out. Each formula is developed with scientific precision and innovative ingredients that support the body's natural balance, so you can feel your best every day.","Fundé Feel Good Pharma para ayudar a las personas a volver a sentirse verdaderamente bien, de adentro hacia afuera. Cada fórmula se desarrolla con precisión científica e ingredientes innovadores que apoyan el equilibrio natural del cuerpo, para que puedas sentirte al máximo cada día.",translated
templates/index.json,fgp-founder-quote,sections.fgp_founder_quote_q3JAYQ.settings,cta_label,View more,Ver más,translated
templates/index.json,fgp-kids-feature,sections.fgp_kids_feature_main.settings,badge_subtext,2 capsules · 3 times a day,2 cápsulas · 3 veces al día,translated
templates/index.json,fgp-kids-feature,sections.fgp_kids_feature_main.settings,eyebrow,KIDS,NIÑOS,translated
templates/index.json,fgp-kids-feature,sections.fgp_kids_feature_main.settings,title,KIDS PROBIOTICS,PROBIÓTICOS PARA NIÑOS,translated
templates/index.json,fgp-kids-feature,sections.fgp_kids_feature_main.settings,description,"<p>Formulation specially designed to <strong>support digestive health, strengthen immunity, and balance the gut microbiome</strong> of your little ones.</p>","<p>Formulación especialmente diseñada para <strong>favorecer la salud digestiva, fortalecer la inmunidad y equilibrar la microbiota intestinal</strong> de los más pequeños.</p>",translated
templates/index.json,fgp-kids-feature,sections.fgp_kids_feature_main.settings,cta_label,Shop Kids 60,Comprar Kids 60,translated
templates/index.json,fgp-kids-feature,sections.fgp_kids_feature_main.settings,cta2_label,Shop Kids 30,Comprar Kids 30,translated
templates/index.json,fgp-kids-symptoms,sections.fgp_kids_symptoms_main.settings,heading,"With KIDS PROBIOTICS, your child will never have to suffer from:","Con PROBIÓTICOS PARA NIÑOS, tu hijo nunca más tendrá que sufrir de:",translated
templates/index.json,fgp-kids-symptoms,sections.fgp_kids_symptoms_main.settings,label_1,Constipation or diarrhea,Estreñimiento o diarrea,translated
templates/index.json,fgp-kids-symptoms,sections.fgp_kids_symptoms_main.settings,label_2,Intestinal imbalance due to antibiotics,Desequilibrio intestinal por antibióticos,translated
templates/index.json,fgp-kids-symptoms,sections.fgp_kids_symptoms_main.settings,label_3,Low defenses,Bajas defensas,translated
templates/index.json,fgp-video-cards,sections.fgp_video_cards_main.settings,section_label,Products,Productos,translated
templates/index.json,fgp-video-cards,sections.fgp_video_cards_main.blocks.vcard_1.settings,title,SYNBIOTIC +,SYNBIOTIC +,translated
templates/index.json,fgp-video-cards,sections.fgp_video_cards_main.blocks.vcard_1.settings,subtitle,"Prebiotic, probiotic, postbiotic and enzymes","Prebiótico, probiótico, postbiótico y enzimas",translated
templates/index.json,fgp-video-cards,sections.fgp_video_cards_main.blocks.vcard_1.settings,cta_label,Shop,Comprar,translated
templates/index.json,fgp-video-cards,sections.fgp_video_cards_main.blocks.vcard_2.settings,title,KIDS PROBIOTICS,PROBIÓTICOS PARA NIÑOS,translated
templates/index.json,fgp-video-cards,sections.fgp_video_cards_main.blocks.vcard_2.settings,subtitle,4 in 1 formula for your little ones,Fórmula 4 en 1 para los más pequeños,translated
templates/index.json,fgp-video-cards,sections.fgp_video_cards_main.blocks.vcard_2.settings,cta_label,Shop,Comprar,translated
templates/index.json,fgp-icon-strip,sections.fgp_icon_strip_Ya38Fq.settings,aria_label,Product benefits,Beneficios del producto,translated
templates/index.json,fgp-icon-strip,sections.fgp_icon_strip_Ya38Fq.blocks.item_CyxFwm.settings,label,Spore based probiotics,Probióticos a base de esporas,translated
templates/index.json,fgp-icon-strip,sections.fgp_icon_strip_Ya38Fq.blocks.item_yaLXzU.settings,label,Plant Based ingredients,Ingredientes de origen vegetal,translated
templates/index.json,fgp-icon-strip,sections.fgp_icon_strip_Ya38Fq.blocks.item_wJkJVN.settings,label,Replenishes Beneficial Bacteria®,Repone bacterias beneficiosas®,translated
templates/index.json,fgp-icon-strip,sections.fgp_icon_strip_Ya38Fq.blocks.item_8QpQbU.settings,label,Strengthens Gut Barrier®,Fortalece la barrera intestinal®,translated
templates/index.json,fgp-icon-strip,sections.fgp_icon_strip_Ya38Fq.blocks.item_UFd4ai.settings,label,Improves Nutrient Absorption®,Mejora la absorción de nutrientes®,translated
templates/index.json,fgp-icon-strip,sections.fgp_icon_strip_Ya38Fq.blocks.item_cnazY9.settings,label,Non GMO,Sin OGM,translated
templates/index.json,fgp-products-grid,sections.fgp_products_grid_main.settings,cta_label,Shop Now,Comprar ahora,translated
templates/index.json,fgp-products-grid,sections.fgp_products_grid_main.blocks.product_1.settings,eyebrow,DIGESTIVE ENZYMES,ENZIMAS DIGESTIVAS,translated
templates/index.json,fgp-products-grid,sections.fgp_products_grid_main.blocks.product_1.settings,placeholder_title,Synbiotic+,Synbiotic+,translated
templates/index.json,fgp-products-grid,sections.fgp_products_grid_main.blocks.product_1.settings,cta_label,Shop Synbiotic+,Comprar Synbiotic+,translated
templates/index.json,fgp-products-grid,sections.fgp_products_grid_main.blocks.product_2.settings,eyebrow,KIDS,NIÑOS,translated
templates/index.json,fgp-products-grid,sections.fgp_products_grid_main.blocks.product_2.settings,placeholder_title,Kids Probiotics,Probióticos para Niños,translated
templates/index.json,fgp-products-grid,sections.fgp_products_grid_main.blocks.product_2.settings,cta_label,Shop Kids Probiotics,Comprar Probióticos para Niños,translated
templates/index.json,fgp-products-grid,sections.fgp_products_grid_main.blocks.product_3.settings,eyebrow,DIGESTIVE ENZYMES,ENZIMAS DIGESTIVAS,translated
templates/index.json,fgp-products-grid,sections.fgp_products_grid_main.blocks.product_3.settings,placeholder_title,Digestive Enzymes,Enzimas digestivas,translated
templates/index.json,fgp-products-grid,sections.fgp_products_grid_main.blocks.product_3.settings,cta_label,Shop Enzymes,Comprar enzimas,translated
templates/index.json,fgp-doctor-testimonials,sections.fgp_doctor_testimonials_main.settings,eyebrow,TRUSTED BY PROFESSIONALS,RESPALDADO POR PROFESIONALES,translated
templates/index.json,fgp-doctor-testimonials,sections.fgp_doctor_testimonials_main.settings,heading,Recommended by Doctors,Recomendado por médicos,translated
templates/index.json,fgp-doctor-testimonials,sections.fgp_doctor_testimonials_main.blocks.doctor_1.settings,name,Dra. Nancy Conejo,Dra. Nancy Conejo,identical
templates/index.json,fgp-doctor-testimonials,sections.fgp_doctor_testimonials_main.blocks.doctor_1.settings,specialty,Pediatrician | Neonatologist,Pediatra | Neonatóloga,translated
templates/index.json,fgp-doctor-testimonials,sections.fgp_doctor_testimonials_main.blocks.doctor_1.settings,ig_handle,@pediatranancyconejo,@pediatranancyconejo,identical
templates/index.json,fgp-doctor-testimonials,sections.fgp_doctor_testimonials_main.blocks.doctor_1.settings,quote,"Pairing probiotics with a balanced diet rich in whole foods, fiber, and hydration is the key to long-term wellness. That's why synbiotic and kids probiotics are designed to complement your family healthy lifestyle.""","Combinar probióticos con una dieta equilibrada rica en alimentos integrales, fibra e hidratación es la clave del bienestar a largo plazo. Por eso Synbiotic y Probióticos para Niños están diseñados para complementar el estilo de vida saludable de tu familia.""",translated
templates/index.json,fgp-doctor-testimonials,sections.fgp_doctor_testimonials_main.blocks.doctor_2.settings,name,Doctora Von Saalfeld,Doctora Von Saalfeld,identical
templates/index.json,fgp-doctor-testimonials,sections.fgp_doctor_testimonials_main.blocks.doctor_2.settings,specialty,Nutricionista,Nutricionista,translated
templates/index.json,fgp-doctor-testimonials,sections.fgp_doctor_testimonials_main.blocks.doctor_2.settings,ig_handle,@cnvs_nutricion,@cnvs_nutricion,identical
templates/index.json,fgp-doctor-testimonials,sections.fgp_doctor_testimonials_main.blocks.doctor_2.settings,quote,"Synbiotic + works amazing as a complement to a balanced diet on patients with Irritable Bowel Sindrome and other digestive issues.""","Synbiotic + funciona increíblemente bien como complemento de una dieta equilibrada en pacientes con síndrome de intestino irritable y otros problemas digestivos.""",translated
templates/index.json,fgp-doctor-testimonials,sections.fgp_doctor_testimonials_main.blocks.doctor_3.settings,name,Dr. Name Lastname,Dr. Nombre Apellido,translated
templates/index.json,fgp-doctor-testimonials,sections.fgp_doctor_testimonials_main.blocks.doctor_3.settings,specialty,Internal Medicine,Medicina interna,translated
templates/index.json,fgp-doctor-testimonials,sections.fgp_doctor_testimonials_main.blocks.doctor_3.settings,quote,A scientifically sound product that truly delivers results. I trust Feel Good Pharma for its quality and transparency.,Un producto científicamente sólido que realmente da resultados. Confío en Feel Good Pharma por su calidad y transparencia.,translated
templates/index.json,fgp-customer-reviews,sections.fgp_customer_reviews_main.settings,eyebrow,WHAT OUR CUSTOMERS SAY,LO QUE DICEN NUESTROS CLIENTES,translated
templates/index.json,fgp-customer-reviews,sections.fgp_customer_reviews_main.settings,heading,Loved by Customers,Preferido por los clientes,translated
templates/index.json,fgp-customer-reviews,sections.fgp_customer_reviews_main.blocks.review_fXj9kK.settings,review,I've been using this product for 3 months and I feel incredible. My digestion has improved tremendously and I have more energy than ever!,Llevo 3 meses usando este producto y me siento increíble. Mi digestión ha mejorado muchísimo y tengo más energía que nunca.,translated
templates/index.json,fgp-customer-reviews,sections.fgp_customer_reviews_main.blocks.review_fXj9kK.settings,name,Maria G.,Maria G.,identical
templates/index.json,fgp-customer-reviews,sections.fgp_customer_reviews_main.blocks.review_fXj9kK.settings,location,"San José, Costa Rica","San José, Costa Rica",identical
templates/index.json,fgp-customer-reviews,sections.fgp_customer_reviews_main.blocks.review_1.settings,review,I've been using Synbiotic+ for 3 months and my digestion has improved tremendously. I have more energy and feel incredible!,Llevo 3 meses usando Synbiotic+ y mi digestión ha mejorado muchísimo. Tengo más energía y me siento increíble.,translated
templates/index.json,fgp-customer-reviews,sections.fgp_customer_reviews_main.blocks.review_1.settings,name,Maria G.,Maria G.,identical
templates/index.json,fgp-customer-reviews,sections.fgp_customer_reviews_main.blocks.review_1.settings,location,"San José, Costa Rica","San José, Costa Rica",identical
templates/index.json,fgp-customer-reviews,sections.fgp_customer_reviews_main.blocks.review_2.settings,review,My daughter started Kids Probiotics and within weeks her tummy aches were gone. I'm so grateful for this product!,Mi hija empezó con Probióticos para Niños y en pocas semanas se le quitaron los dolores de barriga. ¡Estoy muy agradecida!,translated
templates/index.json,fgp-customer-reviews,sections.fgp_customer_reviews_main.blocks.review_2.settings,name,Ana R.,Ana R.,identical
templates/index.json,fgp-customer-reviews,sections.fgp_customer_reviews_main.blocks.review_2.settings,location,"Heredia, Costa Rica","Heredia, Costa Rica",identical
templates/index.json,fgp-customer-reviews,sections.fgp_customer_reviews_main.blocks.review_3.settings,review,"Finally a probiotic that actually works! No more bloating, no more discomfort. Feel Good Pharma changed my life.",¡Por fin un probiótico que sí funciona! Se acabó la hinchazón y las molestias. Feel Good Pharma me cambió la vida.,translated
templates/index.json,fgp-customer-reviews,sections.fgp_customer_reviews_main.blocks.review_3.settings,name,Carlos M.,Carlos M.,identical
templates/index.json,fgp-customer-reviews,sections.fgp_customer_reviews_main.blocks.review_3.settings,location,"Cartago, Costa Rica","Cartago, Costa Rica",identical
templates/index.json,fgp-subfooter,sections.fgp_subfooter_main.settings,hashtag,#FeelGoodWithin,#FeelGoodWithin,identical
templates/index.json,fgp-subfooter,sections.fgp_subfooter_main.settings,ig_handle,feel.goodpharma,feel.goodpharma,identical
templates/index.json,fgp-subfooter,sections.fgp_subfooter_main.settings,fb_label,FEELGOODPHARMA,FEELGOODPHARMA,identical
templates/list-collections.json,slideshow,sections.slideshow.settings,accessibility_info,Slideshow about our brand,Presentación sobre nuestra marca,translated
templates/list-collections.json,slideshow,sections.slideshow.blocks.slide.settings,heading,Collections,Colecciones,translated
templates/page.about.json,fgp-about-hero,sections.fgp_about_hero.settings,eyebrow,OUR STORY,NUESTRA HISTORIA,translated
templates/page.about.json,fgp-about-hero,sections.fgp_about_hero.settings,heading,"Helping you live a healthier, fuller life.",Ayudándote a vivir una vida más saludable y plena.,translated
templates/page.about.json,fgp-about-hero,sections.fgp_about_hero.settings,subtext,"<p>At Feel Good, our goal is to help you live a healthier, fuller, more satisfying life. We know wellness is a journey, and we're here to support you every step of the way. Our products are made with the highest-quality natural ingredients — clinically studied and carefully selected to give you the best possible results.</p>","<p>En Feel Good, nuestro objetivo es ayudarte a vivir una vida más saludable, plena y satisfactoria. Sabemos que el bienestar es un viaje, y estamos aquí para apoyarte en cada paso del camino. Nuestros productos están diseñados con ingredientes naturales de la más alta calidad, clínicamente estudiados y cuidadosamente seleccionados para proporcionarte los mejores resultados posibles.</p>",translated
templates/page.about.json,fgp-about-hero,sections.fgp_about_hero.settings,cta_label,Meet Dr. Katherine,Conoce a la Dra. Katherine,translated
templates/page.about.json,fgp-mission-text,sections.fgp_mission_about.settings,eyebrow,OUR MISSION,NUESTRA MISIÓN,translated
templates/page.about.json,fgp-mission-text,sections.fgp_mission_about.settings,heading,"Science and care, in every formula","Ciencia y cuidado, en cada fórmula",translated
templates/page.about.json,fgp-mission-text,sections.fgp_mission_about.settings,body,"<p>We take pride in offering products made with the highest-quality natural ingredients — clinically studied and carefully selected to give you the best possible results. They're easy to fit into your daily routine, helping you move, feel, and look your best from the inside out.</p><p>Our plant-based digestive enzymes, prebiotics, probiotics, and postbiotics are designed to improve gastrointestinal health and support the immune system. We believe every customer is unique and deserves personal attention. That's why we work hard to give you exceptional service, so you're completely satisfied with our products.</p>","<p>Nos enorgullece ofrecer productos diseñados con ingredientes naturales de la más alta calidad, clínicamente estudiados y cuidadosamente seleccionados para proporcionarte los mejores resultados posibles. Estos productos son fáciles de incorporar en tu estilo de vida diario, para ayudarte a moverte, sentirte y lucir lo mejor posible, de adentro hacia afuera.</p><p>Nuestras enzimas digestivas de origen vegetal, prebióticos, probióticos y postbióticos están diseñados para mejorar la salud gastrointestinal y apoyar el sistema inmunológico. Creemos que cada cliente es único y merece una atención personalizada. Es por eso que nos esforzamos en proporcionarte un servicio al cliente excepcional, para asegurarnos de que estés completamente satisfecho con nuestros productos.</p>",translated
templates/page.about.json,fgp-founder-quote,sections.fgp_founder_about.settings,founder_name,"Dr. Katherine Jiménez, Founder","Dra. Katherine Jiménez, Fundadora",translated
templates/page.about.json,fgp-founder-quote,sections.fgp_founder_about.settings,quote,"Feel Good Pharma was founded by Dr. Katherine Jiménez — a pharmacist with a passion for health who has always sought the best for her family and friends. That commitment to health and wellbeing led her to create products that make a real difference in people's lives, and it shows in every product we make and every interaction we have.","Feel Good Pharma fue creado por la Dra. Katherine Jiménez, una mujer y farmacéutica apasionada por la salud, que siempre busca lo mejor para su familia y amigos. Su compromiso con la salud y el bienestar llevó a la Dra. Jiménez a crear productos que hacen la diferencia en la vida de las personas, y este compromiso se refleja en cada uno de nuestros productos y en el servicio que brindamos.",translated
templates/page.about.json,fgp-founder-quote,sections.fgp_founder_about.settings,cta_label,View our products,Ver nuestros productos,translated
templates/page.about.json,fgp-subfooter,sections.fgp_subfooter_about.settings,hashtag,#FeelGoodWithin,#FeelGoodWithin,identical
templates/page.about.json,fgp-subfooter,sections.fgp_subfooter_about.settings,ig_handle,feel.goodpharma,feel.goodpharma,identical
templates/page.contact.json,fgp-contact-hero,sections.fgp_contact_hero.settings,eyebrow,GET IN TOUCH,CONTÁCTANOS,translated
templates/page.contact.json,fgp-contact-hero,sections.fgp_contact_hero.settings,heading,Contact us,Contáctanos,translated
templates/page.contact.json,fgp-contact-hero,sections.fgp_contact_hero.settings,subtext,We'd love to hear from you. Fill out the form below and we'll get back to you as soon as possible.,Nos encantaría saber de ti. Completa el formulario y te responderemos lo antes posible.,translated
templates/page.contact.json,fgp-contact-info,sections.fgp_contact_info.blocks.card_email.settings,label,Email,Correo electrónico,translated
templates/page.contact.json,fgp-contact-info,sections.fgp_contact_info.blocks.card_email.settings,value,hola@feelgoodpharma.com,hola@feelgoodpharma.com,identical
templates/page.contact.json,fgp-contact-info,sections.fgp_contact_info.blocks.card_phone.settings,label,Phone,Teléfono,translated
templates/page.contact.json,fgp-contact-info,sections.fgp_contact_info.blocks.card_phone.settings,value,+506 XXXX XXXX,+506 XXXX XXXX,identical
templates/page.contact.json,fgp-contact-info,sections.fgp_contact_info.blocks.card_location.settings,label,Location,Ubicación,translated
templates/page.contact.json,fgp-contact-info,sections.fgp_contact_info.blocks.card_location.settings,value,"San José, Costa Rica","San José, Costa Rica",identical
templates/page.contact.json,fgp-contact-info,sections.fgp_contact_info.blocks.card_hours.settings,label,Hours,Horario,translated
templates/page.contact.json,fgp-contact-info,sections.fgp_contact_info.blocks.card_hours.settings,value,Mon–Fri: 8am – 5pm,Lun–Vie: 8 a.m. – 5 p.m.,translated
templates/page.contact.json,contact-form,sections.form.settings,heading,Send us a message,Envíanos un mensaje,translated
templates/page.contact.json,fgp-subfooter,sections.fgp_subfooter_contact.settings,hashtag,#FeelGoodWithin,#FeelGoodWithin,identical
templates/page.contact.json,fgp-subfooter,sections.fgp_subfooter_contact.settings,ig_handle,feel.goodpharma,feel.goodpharma,identical
templates/page.json,image-with-text,sections.23cb49cd-699f-4bea-a5e2-ad07db6241cd.blocks.template--18641843257665__23cb49cd-699f-4bea-a5e2-ad07db6241cd-168108581238f5d118-1.settings,text,"<p>At Feel Good, our goal is to help you live a healthier, fuller, more satisfying life. We know wellness is a journey, and we're here to support you every step of the way. Our products are made with the highest-quality natural ingredients — clinically studied and carefully selected to give you the best possible results.</p><p>We take pride in offering products made with the highest-quality natural ingredients — clinically studied and carefully selected to give you the best possible results. They're easy to fit into your daily routine, helping you move, feel, and look your best from the inside out.</p><p>Our plant-based digestive enzymes, prebiotics, probiotics, and postbiotics are designed to improve gastrointestinal health and support the immune system.</p><p>We believe every customer is unique and deserves personal attention. That's why we work hard to give you exceptional service, so you're completely satisfied with our products.</p><p>Feel Good Pharma was founded by Dr. Katherine Jiménez — a pharmacist with a passion for health who has always sought the best for her family and friends.</p><p>Her commitment to health and wellbeing led Dr. Jiménez to create products that make a real difference in people's lives, and that commitment shows in every product we make and every interaction we have.</p>","<p>En Feel Good, nuestro objetivo es ayudarte a vivir una vida más saludable, plena y satisfactoria. Sabemos que el bienestar es un viaje, y estamos aquí para apoyarte en cada paso del camino. Nuestros productos están diseñados con ingredientes naturales de la más alta calidad, clínicamente estudiados y cuidadosamente seleccionados para proporcionarte los mejores resultados posibles.</p><p>Nos enorgullece ofrecer productos diseñados con ingredientes naturales de la más alta calidad, clínicamente estudiados y cuidadosamente seleccionados para proporcionarte los mejores resultados posibles. Estos productos son fáciles de incorporar en tu estilo de vida diario, para ayudarte a moverte, sentirte y lucir lo mejor posible, de adentro hacia afuera.</p><p>Nuestras enzimas digestivas de origen vegetal, prebióticos, probióticos y postbióticos están diseñados para mejorar la salud gastrointestinal y apoyar el sistema inmunológico. </p><p>Creemos que cada cliente es único y merece una atención personalizada. Es por eso que nos esforzamos en proporcionarte un servicio al cliente excepcional, para asegurarnos de que estés completamente satisfecho con nuestros productos.</p><p>Feel Good Pharma fue creado por la Dra. Katherine Jiménez, una mujer y farmacéutica apasionada por la salud, que siempre busca lo mejor para su familia y amigos. </p><p>Su compromiso con la salud y el bienestar llevó a la Dra. Jiménez a crear productos que hacen la diferencia en la vida de las personas, y este compromiso se refleja en cada uno de nuestros productos y en el servicio que brindamos.</p>",translated
templates/page.json,image-with-text,sections.23cb49cd-699f-4bea-a5e2-ad07db6241cd.blocks.template--18641843257665__23cb49cd-699f-4bea-a5e2-ad07db6241cd-168108581238f5d118-2.settings,button_label,Button label,Texto del botón,translated
templates/page.puntos-de-venta.json,fgp-store-locator,sections.fgp_store_locator.settings,eyebrow,FIND US,ENCUÉNTRANOS,translated
templates/page.puntos-de-venta.json,fgp-store-locator,sections.fgp_store_locator.settings,heading,Puntos de Venta,Puntos de Venta,identical
templates/page.puntos-de-venta.json,fgp-store-locator,sections.fgp_store_locator.settings,subtext,Encuentra nuestros productos en estos puntos de venta.,Encuentra nuestros productos en estos puntos de venta.,identical
templates/page.puntos-de-venta.json,fgp-subfooter,sections.fgp_subfooter_pdv.settings,hashtag,#FeelGoodWithin,#FeelGoodWithin,identical
templates/page.puntos-de-venta.json,fgp-subfooter,sections.fgp_subfooter_pdv.settings,ig_handle,feel.goodpharma,feel.goodpharma,identical
templates/page.puntos-de-venta.json,fgp-subfooter,sections.fgp_subfooter_pdv.settings,fb_label,FEELGOODPHARMA,FEELGOODPHARMA,identical
templates/password.json,email-signup-banner,sections.main.blocks.heading.settings,heading,Opening soon,Próxima apertura,translated
templates/password.json,email-signup-banner,sections.main.blocks.paragraph.settings,text,<p>Be the first to know when we launch.</p>,<p>Sé el primero en enterarte de nuestro lanzamiento.</p>,translated
templates/product.json,main-product,sections.main.blocks.vendor.settings,text,{{ product.vendor }},{{ product.vendor }},identical
templates/product.json,main-product,sections.main.blocks.tab_shipping.settings,heading,Shipping,Envíos,translated
templates/product.json,main-product,sections.main.blocks.tab_shipping.settings,content,<p>Free shipping on orders over $50. Standard delivery 3–5 business days.</p>,<p>Envío gratis en pedidos superiores a $50. Entrega estándar de 3 a 5 días hábiles.</p>,translated
templates/product.json,main-product,sections.main.blocks.tab_returns.settings,heading,Return policy,Política de devoluciones,translated
templates/product.json,main-product,sections.main.blocks.tab_returns.settings,content,"<p>We offer a 30-day satisfaction guarantee. If you're not happy, contact us for a full refund.</p>","<p>Ofrecemos una garantía de satisfacción de 30 días. Si no quedas conforme, contáctanos para un reembolso completo.</p>",translated
templates/product.json,main-product,sections.main.blocks.share.settings,share_label,Share,Compartir,translated
templates/product.json,related-products,sections.related-products.settings,heading,You may also like,También te puede gustar,translated
templates/product.kids.json,main-product,sections.main.blocks.vendor.settings,text,{{ product.vendor }},{{ product.vendor }},identical
templates/product.kids.json,main-product,sections.main.blocks.tab_dosage.settings,heading,Dosage,Dosis,translated
templates/product.kids.json,main-product,sections.main.blocks.tab_dosage.settings,content,<p>Children 4+: 1 gummy per day. Adults: 1–2 gummies per day.</p>,<p>Niños de 4 años en adelante: 1 gomita al día. Adultos: 1–2 gomitas al día.</p>,translated
templates/product.kids.json,main-product,sections.main.blocks.tab_shipping.settings,heading,Shipping,Envíos,translated
